00304084,2,00100004,1020000
00304085,2,00100005,1020000
00304086,2,00100006,1020000
00304087,2,00100007,1110000
00304088,2,00100008,1110000
00304089,2,00100009,1110000
00304090,2,00100010,1020000
00304091,2,00100011,1110000
00304092,2,00100012,1110000
00304093,2,00100013,1110000
00304094,2,00100014,1200000
00304095,2,00100015,1200000
00304096,2,00100016,1110000
00304097,2,00100017,930000
00304098,2,00100018,1110000
00304099,2,00100019,1200000
00304100,2,00100020,1020000
00304101,2,00100021,1110000
00304102,2,00100022,1110000
00304103,2,00100023,1110000
00304104,2,00100024,1200000
00304105,2,00100025,1110000
00304106,2,00100026,1020000
00304107,2,00100027,1110000
00304108,2,00100028,1110000
00304109,2,00100029,1200000
00304110,2,00100030,1110000
00304111,2,00100031,1020000
00304112,2,00100032,1020000
00304113,2,00100033,1200000
00304114,2,00100034,1020000
00304115,2,00100035,1110000
00304116,2,00100036,1200000
00304117,2,00100037,1020000
00304118,2,00100038,930000
00304119,2,00100039,1110000
00304120,2,00100040,1200000
00304121,2,00100041,930000
00304122,2,00100042,1020000
00304123,2,00100043,1110000
00304124,2,00100044,1200000
00304125,2,00100045,1200000
00304126,2,00100046,1200000
00304127,2,00100047,1020000
00304128,2,00100048,1020000
00304129,2,00100049,1110000
00304130,2,00100050,1110000
00304131,2,00100051,1200000
00304132,2,00100052,1200000
00304133,2,00100053,1110000
00304134,2,00100054,1110000
00304135,2,00100055,1200000
00304136,2,00100056,1200000
00304137,2,00100057,1200000
00304138,2,00100058,930000
00304139,2,00100059,1110000
00304140,2,00100060,1200000
00304141,2,00100061,1110000
00304142,2,00100062,1200000
00304143,2,00100063,1110000
00304144,2,00100064,1020000
00304145,2,00100065,1020000
00304146,2,00100066,1200000
00304147,2,00100067,1110000
00304148,2,00100068,1200000
00304149,2,00100069,1020000
00304150,2,00100070,1020000
00304151,2,00100071,1110000
00304152,2,00100072,1110000
00304153,2,00100073,1200000
00304154,2,00100074,1110000
00304155,2,00100075,1020000
00304156,2,00100076,1200000
00304157,2,00100077,1110000
00304158,2,00100078,1200000
00304159,2,00100079,1110000
00304160,2,00100080,1200000
00304161,2,00100001,1110000
00304162,2,00100002,1200000
00304163,2,00100003,1110000
00304164,2,00100004,840000
00304165,2,00100005,1020000
00304166,2,00100006,1200000
00304167,2,00100007,1200000
00304168,2,00100008,1200000
00304169,2,00100009,1110000
00304170,2,00100010,1200000
00304171,2,00100011,930000
00304172,2,00100012,1020000
00304173,2,00100013,1110000
00304174,2,00100014,1200000
00304175,2,00100015,1110000
00304176,2,00100016,1020000
00304177,2,00100017,1200000
00304178,2,00100018,1110000
00304179,2,00100019,1110000
00304180,2,00100020,1200000
00304181,2,00100021,1200000
00304182,2,00100022,930000
00304183,2,00100023,1110000
00304184,2,00100024,1020000
00304185,2,00100025,1200000
00304186,2,00100026,1110000
00304187,2,00100027,1110000
00304188,2,00100028,1200000
00304189,2,00100029,1110000
00304190,2,00100030,1110000
00304191,2,00100031,1020000
00304192,2,00100032,1110000
00304193,2,00100033,1110000
00304194,2,00100034,1110000
00304195,2,00100035,1110000
00304196,2,00100036,1110000
